float_param_bytes,t_batch128_s,t_batch1_s,test_acc,variant
36913448,0.0050077056884765625,0.0006485557556152343,0.921,baseline_fp
36913448,0.004999499320983886,0.0006615304946899414,0.921,prune_only_s0.5
36913448,0.00499936580657959,0.0006653261184692383,0.921,prune_only_s0.8
36913448,0.004963164329528809,0.0006816339492797852,0.3066,prune_only_s0.9
36913448,0.004965128898620605,0.0007017850875854492,0.9211,quant_int8_python_all
36913448,0.0049705982208251955,0.0006563377380371094,0.9211,prune0.8_quant_int8_python_all
36913448,0.004963898658752441,0.0006479644775390626,0.3062,prune0.9_quant_int8_python_all
36913448,0.0049780988693237304,0.000681924819946289,0.9211,quant_int8_cuda_dequant_all
36913448,0.004960851669311523,0.0006512117385864258,0.9211,prune0.8_quant_int8_cuda_dequant_all
36913448,0.0049580526351928715,0.0006740903854370118,0.3062,prune0.9_quant_int8_cuda_dequant_all
